	relu_coeff	time_cost
4568	2187.0	11.0
4569	1024.0	12.0
4570	37632.0	128.0
4571	37632.0	148.0
4572	2187.0	9.0
4573	1024.0	8.0
4574	37632.0	145.0
4575	37632.0	138.0
4576	2187.0	10.0
4577	1024.0	8.0
4578	37632.0	167.0
4579	37632.0	113.0
4580	2187.0	7.0
4581	1024.0	11.0
4582	37632.0	133.0
4583	37632.0	159.0
4584	2187.0	10.0
4585	1024.0	8.0
4586	37632.0	127.0
4587	37632.0	148.0
4588	2187.0	9.0
4589	1024.0	13.0
4590	37632.0	133.0
4591	37632.0	118.0
4592	2187.0	7.0
4593	1024.0	11.0
4594	37632.0	121.0
4595	37632.0	152.0
4596	2187.0	10.0
4597	1024.0	8.0
4598	37632.0	152.0
4599	37632.0	123.0
4600	2187.0	8.0
4601	1024.0	9.0
4602	37632.0	139.0
4603	37632.0	160.0
4604	2187.0	12.0
4605	1024.0	10.0
4606	37632.0	123.0
4607	37632.0	133.0
4608	2187.0	11.0
4609	1024.0	15.0
4610	37632.0	146.0
4611	37632.0	142.0
4612	2187.0	9.0
4613	1024.0	10.0
4614	37632.0	107.0
4615	37632.0	112.0
4616	2187.0	14.0
4617	1024.0	12.0
4618	37632.0	169.0
4619	37632.0	151.0
4620	2187.0	10.0
4621	1024.0	14.0
4622	37632.0	121.0
4623	37632.0	108.0
4624	2187.0	10.0
4625	1024.0	9.0
4626	37632.0	127.0
4627	37632.0	163.0
4628	2187.0	10.0
4629	1024.0	8.0
4630	37632.0	134.0
4631	37632.0	138.0
4632	2187.0	11.0
4633	1024.0	19.0
4634	37632.0	186.0
4635	37632.0	150.0
4636	2187.0	14.0
4637	1024.0	11.0
4638	37632.0	121.0
4639	37632.0	122.0
4640	2187.0	11.0
4641	1024.0	10.0
4642	37632.0	117.0
4643	37632.0	149.0
4644	2187.0	11.0
4645	1024.0	12.0
4646	37632.0	123.0
4647	37632.0	106.0
4648	2187.0	11.0
4649	1024.0	9.0
4650	37632.0	149.0
4651	36963.0	142.0
4652	9075.0	39.0
4653	9075.0	31.0
4654	2028.0	9.0
4655	2028.0	8.0
4656	507.0	7.0
4657	1024.0	10.0
4658	37632.0	118.0
4659	36963.0	135.0
4660	9075.0	29.0
4661	9075.0	36.0
4662	2028.0	9.0
4663	2028.0	8.0
4664	507.0	5.0
4665	1024.0	10.0
4666	37632.0	134.0
4667	36963.0	132.0
4668	9075.0	33.0
4669	9075.0	29.0
4670	2028.0	10.0
4671	2028.0	10.0
4672	507.0	4.0
4673	1024.0	9.0
4674	37632.0	171.0
4675	36963.0	132.0
4676	9075.0	41.0
4677	9075.0	33.0
4678	2028.0	8.0
4679	2028.0	9.0
4680	507.0	3.0
4681	1024.0	9.0
4682	37632.0	128.0
4683	36963.0	159.0
4684	9075.0	28.0
4685	9075.0	36.0
4686	2028.0	11.0
4687	2028.0	11.0
4688	507.0	3.0
4689	1024.0	10.0
4690	37632.0	141.0
4691	36963.0	129.0
4692	9075.0	34.0
4693	9075.0	30.0
4694	2028.0	12.0
4695	2028.0	10.0
4696	507.0	3.0
4697	1024.0	8.0
4698	37632.0	149.0
4699	36963.0	160.0
4700	9075.0	36.0
4701	9075.0	33.0
4702	2028.0	8.0
4703	2028.0	9.0
4704	507.0	3.0
4705	1024.0	10.0
4706	37632.0	134.0
4707	36963.0	144.0
4708	9075.0	35.0
4709	9075.0	35.0
4710	2028.0	9.0
4711	2028.0	10.0
4712	507.0	3.0
