	avgpool_N	avgpool_H	avgpool_W	avgpool_C	avgpool_ksizeH	avgpool_ksizeW	avgpool_zPadHLeft	avgpool_zPadHRight	avgpool_zPadWLeft	avgpool_zPadWRight	avgpool_strideH	avgpool_strideW	avgpool_N1	avgpool_imgH	avgpool_imgW	avgpool_C1	time_cost
127	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	332.0
128	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	181.0
129	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	116.0
130	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2220.0
131	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1504.0
132	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	731.0
133	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	621.0
134	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	775.0
135	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	702.0
136	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	696.0
137	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	360.0
138	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	176.0
139	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	112.0
140	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2513.0
141	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1558.0
142	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	899.0
143	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	709.0
144	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	623.0
145	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	638.0
146	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	737.0
147	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	350.0
148	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	172.0
149	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	118.0
150	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2314.0
151	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1665.0
152	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	857.0
153	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	726.0
154	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	704.0
155	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	719.0
156	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	713.0
157	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	356.0
158	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	178.0
159	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	118.0
160	1.0	112.0	112.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	224.0	224.0	3.0	755.0
161	1.0	111.0	111.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	112.0	112.0	3.0	735.0
162	1.0	55.0	55.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	111.0	111.0	3.0	299.0
163	1.0	55.0	55.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0	55.0	3.0	350.0
164	1.0	54.0	54.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	55.0	55.0	3.0	220.0
165	1.0	27.0	27.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	54.0	54.0	3.0	134.0
166	1.0	26.0	26.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	27.0	27.0	3.0	136.0
167	1.0	26.0	26.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	26.0	3.0	128.0
168	1.0	13.0	13.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	26.0	26.0	3.0	89.0
169	1.0	13.0	13.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	13.0	3.0	114.0
170	1.0	112.0	112.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	224.0	224.0	3.0	734.0
171	1.0	111.0	111.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	112.0	112.0	3.0	598.0
172	1.0	55.0	55.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	111.0	111.0	3.0	224.0
173	1.0	55.0	55.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0	55.0	3.0	372.0
174	1.0	54.0	54.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	55.0	55.0	3.0	317.0
175	1.0	27.0	27.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	54.0	54.0	3.0	130.0
176	1.0	26.0	26.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	27.0	27.0	3.0	153.0
177	1.0	26.0	26.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	26.0	3.0	142.0
178	1.0	13.0	13.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	26.0	26.0	3.0	90.0
179	1.0	13.0	13.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	13.0	3.0	116.0
180	1.0	112.0	112.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	224.0	224.0	3.0	794.0
181	1.0	111.0	111.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	112.0	112.0	3.0	702.0
182	1.0	55.0	55.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	111.0	111.0	3.0	303.0
183	1.0	55.0	55.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0	55.0	3.0	297.0
184	1.0	54.0	54.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	55.0	55.0	3.0	305.0
185	1.0	27.0	27.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	54.0	54.0	3.0	155.0
186	1.0	26.0	26.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	27.0	27.0	3.0	151.0
187	1.0	26.0	26.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	26.0	3.0	159.0
188	1.0	13.0	13.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	26.0	26.0	3.0	98.0
189	1.0	13.0	13.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	13.0	3.0	121.0
190	1.0	112.0	112.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	224.0	224.0	3.0	786.0
191	1.0	111.0	111.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	112.0	112.0	3.0	746.0
192	1.0	55.0	55.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	111.0	111.0	3.0	283.0
193	1.0	55.0	55.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0	55.0	3.0	340.0
194	1.0	54.0	54.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	55.0	55.0	3.0	309.0
195	1.0	27.0	27.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	54.0	54.0	3.0	162.0
196	1.0	26.0	26.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	27.0	27.0	3.0	157.0
197	1.0	26.0	26.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	26.0	3.0	169.0
198	1.0	13.0	13.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	26.0	26.0	3.0	101.0
199	1.0	13.0	13.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	13.0	3.0	123.0
