	FC_N	FC_CI	FC_CO	time_cost
77	1.0	1024.0	10.0	36.0
78	1.0	256.0	1024.0	136.0
79	1.0	1024.0	10.0	31.0
80	1.0	256.0	1024.0	138.0
81	1.0	1024.0	10.0	36.0
82	1.0	256.0	1024.0	144.0
83	1.0	1024.0	10.0	38.0
84	1.0	256.0	1024.0	156.0
85	1.0	1024.0	10.0	36.0
86	1.0	256.0	1024.0	160.0
87	1.0	1024.0	10.0	35.0
88	1.0	256.0	1024.0	139.0
89	1.0	1024.0	10.0	35.0
90	1.0	50176.0	1024.0	7829.0
91	1.0	1024.0	10.0	59.0
92	1.0	50176.0	1024.0	7221.0
93	1.0	1024.0	10.0	55.0
94	1.0	50176.0	1024.0	7103.0
95	1.0	1024.0	10.0	54.0
96	1.0	50176.0	1024.0	7842.0
97	1.0	1024.0	10.0	66.0
98	1.0	50176.0	1024.0	7666.0
99	1.0	1024.0	10.0	57.0
100	1.0	50176.0	1024.0	7002.0
101	1.0	1024.0	10.0	72.0
102	1.0	50176.0	1024.0	7440.0
103	1.0	1024.0	10.0	59.0
104	1.0	50176.0	1024.0	7125.0
105	1.0	1024.0	10.0	70.0
106	1.0	50176.0	1024.0	7525.0
107	1.0	1024.0	10.0	57.0
108	1.0	50176.0	1024.0	7241.0
109	1.0	1024.0	10.0	59.0
110	1.0	2048.0	1024.0	455.0
111	1.0	1024.0	10.0	34.0
112	1.0	2048.0	1024.0	445.0
113	1.0	1024.0	10.0	31.0
114	1.0	2048.0	1024.0	440.0
115	1.0	1024.0	10.0	35.0
116	1.0	2048.0	1024.0	446.0
117	1.0	1024.0	10.0	36.0
118	1.0	2048.0	1024.0	454.0
119	1.0	1024.0	10.0	30.0
120	1.0	2048.0	1024.0	457.0
121	1.0	1024.0	10.0	36.0
122	1.0	2048.0	1024.0	442.0
123	1.0	1024.0	10.0	37.0
124	1.0	2048.0	1024.0	436.0
125	1.0	1024.0	10.0	35.0
126	1.0	2048.0	1024.0	454.0
127	1.0	1024.0	10.0	35.0
128	1.0	2048.0	1024.0	446.0
129	1.0	1024.0	10.0	36.0
130	1.0	4608.0	1024.0	809.0
131	1.0	1024.0	10.0	45.0
132	1.0	4608.0	1024.0	819.0
133	1.0	1024.0	10.0	56.0
134	1.0	4608.0	1024.0	808.0
135	1.0	1024.0	10.0	57.0
136	1.0	4608.0	1024.0	799.0
137	1.0	1024.0	10.0	57.0
138	1.0	4608.0	1024.0	808.0
139	1.0	1024.0	10.0	57.0
140	1.0	4608.0	1024.0	830.0
141	1.0	1024.0	10.0	47.0
