	BN2_C	BN2_H	BN2_W	time_cost
457	128.0	56.0	56.0	1818.0
458	160.0	56.0	56.0	2290.0
459	192.0	56.0	56.0	2845.0
460	224.0	56.0	56.0	3239.0
461	256.0	56.0	56.0	3755.0
462	128.0	28.0	28.0	421.0
463	160.0	28.0	28.0	541.0
464	192.0	28.0	28.0	656.0
465	224.0	28.0	28.0	749.0
466	128.0	28.0	28.0	422.0
467	256.0	28.0	28.0	825.0
468	288.0	28.0	28.0	978.0
469	320.0	28.0	28.0	1068.0
470	352.0	28.0	28.0	1167.0
471	384.0	28.0	28.0	1266.0
472	416.0	28.0	28.0	1469.0
473	448.0	28.0	28.0	1493.0
474	480.0	28.0	28.0	1665.0
475	512.0	28.0	28.0	1739.0
476	256.0	14.0	14.0	231.0
477	288.0	14.0	14.0	231.0
478	320.0	14.0	14.0	254.0
479	352.0	14.0	14.0	284.0
480	384.0	14.0	14.0	308.0
481	416.0	14.0	14.0	325.0
482	448.0	14.0	14.0	369.0
483	480.0	14.0	14.0	395.0
484	512.0	14.0	14.0	420.0
485	544.0	14.0	14.0	427.0
486	576.0	14.0	14.0	456.0
487	608.0	14.0	14.0	504.0
488	640.0	14.0	14.0	519.0
489	672.0	14.0	14.0	554.0
490	704.0	14.0	14.0	559.0
491	736.0	14.0	14.0	662.0
492	768.0	14.0	14.0	650.0
493	800.0	14.0	14.0	701.0
494	832.0	14.0	14.0	690.0
495	864.0	14.0	14.0	734.0
496	896.0	14.0	14.0	761.0
497	928.0	14.0	14.0	787.0
498	960.0	14.0	14.0	776.0
499	992.0	14.0	14.0	811.0
500	1024.0	14.0	14.0	822.0
501	512.0	7.0	7.0	142.0
502	544.0	7.0	7.0	143.0
503	576.0	7.0	7.0	144.0
504	608.0	7.0	7.0	131.0
505	640.0	7.0	7.0	153.0
506	672.0	7.0	7.0	164.0
507	704.0	7.0	7.0	164.0
508	736.0	7.0	7.0	162.0
509	768.0	7.0	7.0	176.0
510	800.0	7.0	7.0	179.0
511	832.0	7.0	7.0	175.0
512	864.0	7.0	7.0	185.0
513	896.0	7.0	7.0	190.0
514	928.0	7.0	7.0	196.0
515	960.0	7.0	7.0	182.0
516	992.0	7.0	7.0	201.0
517	7.0	7.0	1024.0	216.0
518	64.0	56.0	56.0	894.0
519	96.0	56.0	56.0	1341.0
520	128.0	56.0	56.0	1770.0
521	160.0	56.0	56.0	2350.0
522	192.0	56.0	56.0	2771.0
523	224.0	56.0	56.0	3300.0
524	256.0	56.0	56.0	3776.0
525	128.0	28.0	28.0	420.0
526	160.0	28.0	28.0	525.0
527	192.0	28.0	28.0	659.0
528	224.0	28.0	28.0	743.0
529	128.0	28.0	28.0	441.0
530	256.0	28.0	28.0	829.0
531	288.0	28.0	28.0	960.0
532	320.0	28.0	28.0	1080.0
533	352.0	28.0	28.0	1166.0
534	384.0	28.0	28.0	1288.0
535	416.0	28.0	28.0	1466.0
536	448.0	28.0	28.0	1475.0
537	480.0	28.0	28.0	1618.0
538	512.0	28.0	28.0	1758.0
539	256.0	14.0	14.0	222.0
540	288.0	14.0	14.0	228.0
541	320.0	14.0	14.0	252.0
542	352.0	14.0	14.0	291.0
543	384.0	14.0	14.0	296.0
544	416.0	14.0	14.0	320.0
545	448.0	14.0	14.0	351.0
546	480.0	14.0	14.0	387.0
547	512.0	14.0	14.0	419.0
548	544.0	14.0	14.0	459.0
549	576.0	14.0	14.0	478.0
550	608.0	14.0	14.0	500.0
551	640.0	14.0	14.0	540.0
552	672.0	14.0	14.0	547.0
553	704.0	14.0	14.0	571.0
554	736.0	14.0	14.0	664.0
555	768.0	14.0	14.0	669.0
556	800.0	14.0	14.0	705.0
557	832.0	14.0	14.0	725.0
558	864.0	14.0	14.0	723.0
559	896.0	14.0	14.0	739.0
560	928.0	14.0	14.0	770.0
561	960.0	14.0	14.0	785.0
562	992.0	14.0	14.0	809.0
563	1024.0	14.0	14.0	859.0
564	512.0	7.0	7.0	142.0
565	544.0	7.0	7.0	136.0
566	576.0	7.0	7.0	138.0
567	608.0	7.0	7.0	154.0
568	640.0	7.0	7.0	152.0
569	672.0	7.0	7.0	164.0
570	704.0	7.0	7.0	163.0
571	736.0	7.0	7.0	164.0
572	768.0	7.0	7.0	181.0
573	800.0	7.0	7.0	176.0
574	832.0	7.0	7.0	178.0
575	864.0	7.0	7.0	188.0
576	896.0	7.0	7.0	203.0
577	928.0	7.0	7.0	201.0
578	960.0	7.0	7.0	204.0
579	992.0	7.0	7.0	187.0
580	7.0	7.0	1024.0	219.0
581	64.0	56.0	56.0	828.0
582	96.0	56.0	56.0	1315.0
583	128.0	56.0	56.0	1799.0
584	160.0	56.0	56.0	2340.0
585	192.0	56.0	56.0	2805.0
586	224.0	56.0	56.0	3266.0
587	256.0	56.0	56.0	3752.0
588	128.0	28.0	28.0	439.0
589	160.0	28.0	28.0	542.0
590	192.0	28.0	28.0	677.0
591	224.0	28.0	28.0	787.0
592	128.0	28.0	28.0	433.0
593	256.0	28.0	28.0	850.0
594	288.0	28.0	28.0	955.0
595	320.0	28.0	28.0	1069.0
596	352.0	28.0	28.0	1181.0
597	384.0	28.0	28.0	1316.0
598	416.0	28.0	28.0	1426.0
599	448.0	28.0	28.0	1475.0
600	480.0	28.0	28.0	1684.0
601	512.0	28.0	28.0	1735.0
602	256.0	14.0	14.0	227.0
603	288.0	14.0	14.0	221.0
604	320.0	14.0	14.0	245.0
605	352.0	14.0	14.0	311.0
606	384.0	14.0	14.0	294.0
607	416.0	14.0	14.0	317.0
608	448.0	14.0	14.0	371.0
609	480.0	14.0	14.0	389.0
610	512.0	14.0	14.0	402.0
611	544.0	14.0	14.0	457.0
612	576.0	14.0	14.0	454.0
613	608.0	14.0	14.0	499.0
614	640.0	14.0	14.0	536.0
615	672.0	14.0	14.0	568.0
616	704.0	14.0	14.0	582.0
617	736.0	14.0	14.0	608.0
618	768.0	14.0	14.0	664.0
619	800.0	14.0	14.0	618.0
620	832.0	14.0	14.0	653.0
621	864.0	14.0	14.0	724.0
622	896.0	14.0	14.0	763.0
623	928.0	14.0	14.0	773.0
624	960.0	14.0	14.0	811.0
625	992.0	14.0	14.0	815.0
626	1024.0	14.0	14.0	858.0
627	512.0	7.0	7.0	142.0
628	544.0	7.0	7.0	141.0
629	576.0	7.0	7.0	141.0
630	608.0	7.0	7.0	157.0
631	640.0	7.0	7.0	156.0
632	672.0	7.0	7.0	163.0
633	704.0	7.0	7.0	165.0
634	736.0	7.0	7.0	165.0
635	768.0	7.0	7.0	176.0
636	800.0	7.0	7.0	186.0
637	832.0	7.0	7.0	165.0
638	864.0	7.0	7.0	194.0
639	896.0	7.0	7.0	178.0
640	928.0	7.0	7.0	199.0
641	960.0	7.0	7.0	197.0
642	992.0	7.0	7.0	219.0
643	7.0	7.0	1024.0	224.0
644	64.0	56.0	56.0	848.0
645	96.0	56.0	56.0	1359.0
646	128.0	56.0	56.0	1814.0
647	160.0	56.0	56.0	2277.0
648	192.0	56.0	56.0	2774.0
649	224.0	56.0	56.0	3269.0
650	256.0	56.0	56.0	3733.0
651	128.0	28.0	28.0	423.0
652	160.0	28.0	28.0	525.0
653	192.0	28.0	28.0	675.0
654	224.0	28.0	28.0	775.0
655	128.0	28.0	28.0	423.0
656	256.0	28.0	28.0	840.0
657	288.0	28.0	28.0	959.0
658	320.0	28.0	28.0	1065.0
659	352.0	28.0	28.0	1199.0
660	384.0	28.0	28.0	1335.0
661	416.0	28.0	28.0	1437.0
662	448.0	28.0	28.0	1487.0
663	480.0	28.0	28.0	1639.0
664	512.0	28.0	28.0	1787.0
665	256.0	14.0	14.0	222.0
666	288.0	14.0	14.0	226.0
667	320.0	14.0	14.0	252.0
668	352.0	14.0	14.0	293.0
669	384.0	14.0	14.0	318.0
670	416.0	14.0	14.0	326.0
671	448.0	14.0	14.0	366.0
672	480.0	14.0	14.0	401.0
673	512.0	14.0	14.0	412.0
674	544.0	14.0	14.0	450.0
675	576.0	14.0	14.0	443.0
676	608.0	14.0	14.0	487.0
677	640.0	14.0	14.0	523.0
678	672.0	14.0	14.0	537.0
679	704.0	14.0	14.0	550.0
680	736.0	14.0	14.0	651.0
681	768.0	14.0	14.0	661.0
682	800.0	14.0	14.0	655.0
683	832.0	14.0	14.0	692.0
684	864.0	14.0	14.0	741.0
685	896.0	14.0	14.0	755.0
686	928.0	14.0	14.0	771.0
687	960.0	14.0	14.0	776.0
688	992.0	14.0	14.0	827.0
689	1024.0	14.0	14.0	841.0
690	512.0	7.0	7.0	141.0
691	544.0	7.0	7.0	138.0
692	576.0	7.0	7.0	140.0
693	608.0	7.0	7.0	154.0
694	640.0	7.0	7.0	153.0
695	672.0	7.0	7.0	166.0
696	704.0	7.0	7.0	166.0
697	736.0	7.0	7.0	165.0
698	768.0	7.0	7.0	184.0
699	800.0	7.0	7.0	179.0
700	832.0	7.0	7.0	174.0
701	864.0	7.0	7.0	179.0
702	896.0	7.0	7.0	182.0
703	928.0	7.0	7.0	194.0
704	960.0	7.0	7.0	203.0
705	992.0	7.0	7.0	201.0
706	7.0	7.0	1024.0	227.0
707	64.0	56.0	56.0	841.0
708	96.0	56.0	56.0	1344.0
709	128.0	56.0	56.0	1758.0
710	160.0	56.0	56.0	2319.0
711	192.0	56.0	56.0	2749.0
712	224.0	56.0	56.0	3281.0
713	256.0	56.0	56.0	3717.0
714	128.0	28.0	28.0	432.0
715	160.0	28.0	28.0	516.0
716	192.0	28.0	28.0	691.0
717	224.0	28.0	28.0	765.0
718	128.0	28.0	28.0	429.0
719	256.0	28.0	28.0	871.0
720	288.0	28.0	28.0	987.0
721	320.0	28.0	28.0	1086.0
