	maxpool_N	maxpool_H	maxpool_W	maxpool_C	maxpool_ksizeH	maxpool_ksizeW	maxpool_zPadHLeft	maxpool_zPadHRight	maxpool_zPadWLeft	maxpool_zPadWRight	maxpool_strideH	maxpool_strideW	maxpool_N1	maxpool_imgH	maxpool_imgW	maxpool_C1	time_cost
103	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23271.0
104	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23041.0
105	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	23859.0
106	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11551.0
107	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4503.0
108	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	23857.0
109	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11763.0
110	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4314.0
111	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	23693.0
112	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11975.0
113	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4396.0
114	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	23522.0
115	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11603.0
116	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4641.0
117	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	24299.0
118	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11793.0
119	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4335.0
120	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	24102.0
121	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11535.0
122	1.0	13.0	13.0	256.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	27.0	27.0	256.0	4441.0
123	1.0	56.0	56.0	64.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	113.0	113.0	64.0	23345.0
124	1.0	27.0	27.0	128.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	11893.0
