maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,time_cost_list,max_time_cost_difference
1.0,27.0,27.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,128.0,"[7402.0, 7477.0, 7531.0, 7431.0, 7529.0, 7121.0, 7456.0, 7261.0, 7161.0, 7408.0, 7313.0, 7314.0, 7196.0, 7330.0, 7315.0]",410.0
1.0,28.0,28.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,28.0,3.0,"[32.0, 41.0, 37.0, 30.0, 33.0, 30.0, 27.0, 34.0, 29.0, 34.0, 41.0, 28.0, 36.0, 25.0, 27.0, 24.0, 36.0, 36.0, 30.0, 25.0, 28.0, 33.0, 32.0, 26.0, 33.0, 25.0, 38.0, 29.0, 29.0, 48.0, 31.0, 26.0, 28.0, 44.0, 36.0, 31.0, 29.0, 48.0, 33.0, 30.0, 27.0, 29.0, 26.0, 29.0, 27.0, 34.0, 31.0, 23.0, 27.0, 38.0, 24.0, 28.0, 50.0, 27.0, 25.0, 52.0, 53.0, 57.0, 31.0, 39.0]",34.0
1.0,28.0,28.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,56.0,56.0,3.0,"[65.0, 82.0, 93.0, 80.0, 57.0, 66.0, 70.0, 66.0, 95.0, 67.0, 115.0, 64.0, 70.0, 60.0, 85.0, 112.0, 101.0, 79.0, 81.0, 93.0, 86.0, 71.0, 98.0, 68.0, 96.0, 98.0, 75.0, 88.0, 60.0, 71.0, 69.0, 89.0, 70.0, 110.0, 64.0, 66.0, 70.0, 101.0, 70.0, 76.0, 92.0, 94.0, 75.0, 75.0, 90.0]",58.0
1.0,28.0,28.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,3.0,"[73.0, 82.0, 62.0, 87.0, 68.0, 75.0, 65.0, 107.0, 56.0, 74.0, 76.0, 87.0, 79.0, 74.0, 60.0, 85.0, 70.0, 69.0, 67.0, 88.0, 72.0, 66.0, 74.0, 56.0, 74.0, 71.0, 90.0, 69.0, 68.0, 84.0]",51.0
1.0,28.0,28.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,55.0,55.0,3.0,"[2334.0, 2175.0, 2302.0, 2139.0, 2239.0, 1880.0, 1885.0, 2004.0, 2244.0, 2286.0, 1952.0, 2138.0, 1835.0, 2033.0, 2273.0]",499.0
1.0,31.0,30.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,123.0,124.0,1.0,"[47.0, 55.0, 35.0, 34.0, 61.0, 46.0, 36.0, 46.0, 58.0, 29.0, 29.0, 51.0, 39.0, 39.0, 39.0]",32.0
1.0,52.0,52.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,53.0,3.0,"[106.0, 84.0, 121.0, 124.0, 93.0, 129.0, 70.0, 102.0, 99.0, 107.0, 113.0, 97.0, 95.0, 120.0, 90.0]",59.0
1.0,53.0,53.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,54.0,3.0,"[94.0, 91.0, 101.0, 89.0, 91.0, 98.0, 91.0, 76.0, 138.0, 105.0, 90.0, 100.0, 75.0, 124.0, 93.0]",63.0
1.0,53.0,53.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,106.0,106.0,3.0,"[258.0, 251.0, 270.0, 270.0, 191.0, 304.0, 233.0, 269.0, 260.0, 279.0, 237.0, 263.0, 292.0, 271.0, 239.0]",113.0
1.0,54.0,54.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,56.0,3.0,"[211.0, 211.0, 265.0, 209.0, 236.0, 248.0, 208.0, 209.0, 256.0, 276.0, 234.0, 237.0, 231.0, 229.0, 222.0]",68.0
