	BN2_C	BN2_H	BN2_W	time_cost
358	288.0	14.0	14.0	286.0
359	320.0	14.0	14.0	317.0
360	352.0	14.0	14.0	290.0
361	384.0	14.0	14.0	366.0
362	416.0	14.0	14.0	387.0
363	448.0	14.0	14.0	412.0
364	480.0	14.0	14.0	468.0
365	512.0	14.0	14.0	474.0
366	544.0	14.0	14.0	479.0
367	576.0	14.0	14.0	476.0
368	608.0	14.0	14.0	542.0
369	640.0	14.0	14.0	519.0
370	672.0	14.0	14.0	454.0
371	704.0	14.0	14.0	476.0
372	736.0	14.0	14.0	615.0
373	768.0	14.0	14.0	630.0
374	800.0	14.0	14.0	672.0
375	832.0	14.0	14.0	668.0
376	864.0	14.0	14.0	709.0
377	896.0	14.0	14.0	817.0
378	928.0	14.0	14.0	688.0
379	960.0	14.0	14.0	792.0
380	992.0	14.0	14.0	814.0
381	1024.0	14.0	14.0	805.0
382	512.0	7.0	7.0	170.0
383	544.0	7.0	7.0	162.0
384	576.0	7.0	7.0	167.0
385	608.0	7.0	7.0	168.0
386	640.0	7.0	7.0	202.0
387	672.0	7.0	7.0	180.0
388	704.0	7.0	7.0	154.0
389	736.0	7.0	7.0	192.0
390	768.0	7.0	7.0	199.0
391	800.0	7.0	7.0	197.0
392	832.0	7.0	7.0	186.0
393	864.0	7.0	7.0	184.0
394	896.0	7.0	7.0	241.0
395	928.0	7.0	7.0	245.0
396	960.0	7.0	7.0	233.0
397	992.0	7.0	7.0	254.0
398	7.0	7.0	1024.0	282.0
399	64.0	56.0	56.0	826.0
400	96.0	56.0	56.0	1443.0
401	128.0	56.0	56.0	1745.0
402	160.0	56.0	56.0	2077.0
403	192.0	56.0	56.0	2473.0
404	224.0	56.0	56.0	2873.0
405	256.0	56.0	56.0	3203.0
406	128.0	28.0	28.0	419.0
407	160.0	28.0	28.0	502.0
408	192.0	28.0	28.0	600.0
409	224.0	28.0	28.0	748.0
410	128.0	28.0	28.0	478.0
411	256.0	28.0	28.0	744.0
412	288.0	28.0	28.0	930.0
413	320.0	28.0	28.0	975.0
414	352.0	28.0	28.0	1075.0
415	384.0	28.0	28.0	1096.0
416	416.0	28.0	28.0	1282.0
417	448.0	28.0	28.0	1383.0
418	480.0	28.0	28.0	1549.0
419	512.0	28.0	28.0	1632.0
420	256.0	14.0	14.0	264.0
421	288.0	14.0	14.0	264.0
422	320.0	14.0	14.0	314.0
423	352.0	14.0	14.0	334.0
424	384.0	14.0	14.0	358.0
425	416.0	14.0	14.0	415.0
426	448.0	14.0	14.0	421.0
427	480.0	14.0	14.0	390.0
428	512.0	14.0	14.0	388.0
429	544.0	14.0	14.0	453.0
430	576.0	14.0	14.0	450.0
431	608.0	14.0	14.0	451.0
432	640.0	14.0	14.0	552.0
433	672.0	14.0	14.0	504.0
434	704.0	14.0	14.0	572.0
435	736.0	14.0	14.0	623.0
436	768.0	14.0	14.0	645.0
437	800.0	14.0	14.0	663.0
438	832.0	14.0	14.0	711.0
439	864.0	14.0	14.0	635.0
440	896.0	14.0	14.0	723.0
441	928.0	14.0	14.0	742.0
442	960.0	14.0	14.0	710.0
443	992.0	14.0	14.0	827.0
444	1024.0	14.0	14.0	739.0
445	512.0	7.0	7.0	173.0
446	544.0	7.0	7.0	172.0
447	576.0	7.0	7.0	164.0
448	608.0	7.0	7.0	185.0
449	640.0	7.0	7.0	211.0
450	672.0	7.0	7.0	205.0
451	704.0	7.0	7.0	200.0
452	736.0	7.0	7.0	203.0
453	768.0	7.0	7.0	190.0
454	800.0	7.0	7.0	205.0
455	832.0	7.0	7.0	216.0
456	864.0	7.0	7.0	213.0
457	896.0	7.0	7.0	237.0
458	928.0	7.0	7.0	246.0
459	960.0	7.0	7.0	247.0
460	992.0	7.0	7.0	257.0
461	7.0	7.0	1024.0	282.0
462	64.0	56.0	56.0	852.0
463	96.0	56.0	56.0	1205.0
464	128.0	56.0	56.0	1665.0
465	160.0	56.0	56.0	1970.0
466	192.0	56.0	56.0	2563.0
467	224.0	56.0	56.0	2861.0
468	256.0	56.0	56.0	3267.0
469	128.0	28.0	28.0	458.0
470	160.0	28.0	28.0	536.0
471	192.0	28.0	28.0	538.0
472	224.0	28.0	28.0	720.0
473	128.0	28.0	28.0	488.0
474	256.0	28.0	28.0	748.0
475	288.0	28.0	28.0	835.0
476	320.0	28.0	28.0	939.0
477	352.0	28.0	28.0	1013.0
478	384.0	28.0	28.0	1270.0
479	416.0	28.0	28.0	1277.0
480	448.0	28.0	28.0	1339.0
481	480.0	28.0	28.0	1522.0
482	512.0	28.0	28.0	1660.0
483	256.0	14.0	14.0	247.0
484	288.0	14.0	14.0	274.0
485	320.0	14.0	14.0	293.0
486	352.0	14.0	14.0	292.0
487	384.0	14.0	14.0	361.0
488	416.0	14.0	14.0	347.0
489	448.0	14.0	14.0	423.0
490	480.0	14.0	14.0	402.0
491	512.0	14.0	14.0	445.0
492	544.0	14.0	14.0	462.0
493	576.0	14.0	14.0	498.0
494	608.0	14.0	14.0	538.0
495	640.0	14.0	14.0	546.0
496	672.0	14.0	14.0	556.0
497	704.0	14.0	14.0	587.0
498	736.0	14.0	14.0	525.0
499	768.0	14.0	14.0	631.0
500	800.0	14.0	14.0	646.0
501	832.0	14.0	14.0	619.0
502	864.0	14.0	14.0	671.0
503	896.0	14.0	14.0	722.0
504	928.0	14.0	14.0	749.0
505	960.0	14.0	14.0	681.0
506	992.0	14.0	14.0	733.0
507	1024.0	14.0	14.0	716.0
508	512.0	7.0	7.0	165.0
509	544.0	7.0	7.0	159.0
510	576.0	7.0	7.0	143.0
511	608.0	7.0	7.0	186.0
512	640.0	7.0	7.0	202.0
513	672.0	7.0	7.0	196.0
514	704.0	7.0	7.0	203.0
515	736.0	7.0	7.0	210.0
516	768.0	7.0	7.0	213.0
517	800.0	7.0	7.0	218.0
518	832.0	7.0	7.0	220.0
519	864.0	7.0	7.0	236.0
520	896.0	7.0	7.0	231.0
521	928.0	7.0	7.0	232.0
522	960.0	7.0	7.0	199.0
523	992.0	7.0	7.0	267.0
524	7.0	7.0	1024.0	220.0
525	64.0	56.0	56.0	960.0
526	96.0	56.0	56.0	1209.0
527	128.0	56.0	56.0	1633.0
528	160.0	56.0	56.0	1997.0
529	192.0	56.0	56.0	2499.0
530	224.0	56.0	56.0	2884.0
531	256.0	56.0	56.0	3198.0
532	128.0	28.0	28.0	462.0
533	160.0	28.0	28.0	546.0
534	192.0	28.0	28.0	490.0
535	224.0	28.0	28.0	747.0
536	128.0	28.0	28.0	473.0
537	256.0	28.0	28.0	847.0
538	288.0	28.0	28.0	896.0
539	320.0	28.0	28.0	929.0
540	352.0	28.0	28.0	987.0
541	384.0	28.0	28.0	1011.0
542	416.0	28.0	28.0	1305.0
543	448.0	28.0	28.0	1333.0
544	480.0	28.0	28.0	1530.0
545	512.0	28.0	28.0	1663.0
546	256.0	14.0	14.0	273.0
547	288.0	14.0	14.0	239.0
548	320.0	14.0	14.0	307.0
549	352.0	14.0	14.0	347.0
550	384.0	14.0	14.0	358.0
551	416.0	14.0	14.0	377.0
552	448.0	14.0	14.0	414.0
553	480.0	14.0	14.0	439.0
554	512.0	14.0	14.0	403.0
555	544.0	14.0	14.0	470.0
556	576.0	14.0	14.0	504.0
557	608.0	14.0	14.0	532.0
558	640.0	14.0	14.0	573.0
559	672.0	14.0	14.0	538.0
560	704.0	14.0	14.0	591.0
561	736.0	14.0	14.0	611.0
562	768.0	14.0	14.0	652.0
563	800.0	14.0	14.0	689.0
564	832.0	14.0	14.0	677.0
565	864.0	14.0	14.0	731.0
566	896.0	14.0	14.0	682.0
567	928.0	14.0	14.0	712.0
568	960.0	14.0	14.0	708.0
569	992.0	14.0	14.0	800.0
570	1024.0	14.0	14.0	721.0
571	512.0	7.0	7.0	171.0
572	544.0	7.0	7.0	131.0
573	576.0	7.0	7.0	172.0
574	608.0	7.0	7.0	179.0
575	640.0	7.0	7.0	144.0
576	672.0	7.0	7.0	197.0
577	704.0	7.0	7.0	201.0
578	736.0	7.0	7.0	165.0
579	768.0	7.0	7.0	213.0
580	800.0	7.0	7.0	215.0
581	832.0	7.0	7.0	180.0
582	864.0	7.0	7.0	203.0
583	896.0	7.0	7.0	231.0
584	928.0	7.0	7.0	207.0
585	960.0	7.0	7.0	240.0
586	992.0	7.0	7.0	248.0
587	7.0	7.0	1024.0	233.0
588	64.0	56.0	56.0	855.0
589	96.0	56.0	56.0	1353.0
590	128.0	56.0	56.0	1613.0
591	160.0	56.0	56.0	2049.0
592	192.0	56.0	56.0	2440.0
593	224.0	56.0	56.0	2872.0
594	256.0	56.0	56.0	3133.0
595	128.0	28.0	28.0	466.0
596	160.0	28.0	28.0	500.0
597	192.0	28.0	28.0	546.0
598	224.0	28.0	28.0	768.0
599	128.0	28.0	28.0	425.0
600	256.0	28.0	28.0	803.0
601	288.0	28.0	28.0	920.0
602	320.0	28.0	28.0	882.0
603	352.0	28.0	28.0	1011.0
604	384.0	28.0	28.0	1125.0
605	416.0	28.0	28.0	1266.0
606	448.0	28.0	28.0	1329.0
607	480.0	28.0	28.0	1407.0
608	512.0	28.0	28.0	1613.0
609	256.0	14.0	14.0	229.0
610	288.0	14.0	14.0	281.0
611	320.0	14.0	14.0	298.0
612	352.0	14.0	14.0	350.0
613	384.0	14.0	14.0	379.0
614	416.0	14.0	14.0	324.0
615	448.0	14.0	14.0	417.0
