	conv_N	conv_H	conv_W	conv_CI	conv_FH	conv_FW	conv_CO	conv_zPadHLeft	conv_zPadHRight	conv_zPadWLeft	conv_zPadWRight	conv_strideH	conv_strideW	time_cost
4719	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	92.0
4720	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1725.0
4721	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	884.0
4722	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	99.0
4723	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	63.0
4724	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	104.0
4725	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1772.0
4726	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	923.0
4727	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	127.0
4728	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	70.0
4729	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	99.0
4730	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1769.0
4731	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	877.0
4732	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0
4733	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	66.0
4734	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	97.0
4735	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1762.0
4736	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	888.0
4737	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	119.0
4738	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	66.0
4739	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	102.0
4740	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1775.0
4741	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	904.0
4742	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	115.0
4743	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	75.0
4744	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	118.0
4745	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1777.0
4746	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	871.0
4747	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0
4748	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	62.0
4749	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	84.0
4750	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1736.0
4751	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	905.0
4752	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	122.0
4753	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	73.0
4754	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	116.0
4755	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1752.0
4756	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	916.0
4757	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	136.0
4758	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	72.0
4759	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	107.0
4760	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1793.0
4761	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	906.0
4762	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	106.0
4763	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	69.0
4764	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	115.0
4765	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1672.0
4766	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	936.0
4767	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	107.0
4768	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	72.0
4769	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	101.0
4770	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	1753.0
4771	1.0	111.0	111.0	16.0	7.0	7.0	16.0	3.0	3.0	3.0	3.0	2.0	2.0	1013.0
4772	1.0	56.0	56.0	16.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	382.0
4773	1.0	50.0	50.0	16.0	3.0	3.0	256.0	1.0	0.0	1.0	0.0	2.0	2.0	2481.0
4774	1.0	12.0	12.0	256.0	3.0	3.0	32.0	0.0	0.0	0.0	0.0	2.0	2.0	263.0
4775	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	1647.0
4776	1.0	111.0	111.0	16.0	7.0	7.0	16.0	3.0	3.0	3.0	3.0	2.0	2.0	1002.0
4777	1.0	56.0	56.0	16.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	292.0
4778	1.0	50.0	50.0	16.0	3.0	3.0	256.0	1.0	0.0	1.0	0.0	2.0	2.0	2384.0
4779	1.0	12.0	12.0	256.0	3.0	3.0	32.0	0.0	0.0	0.0	0.0	2.0	2.0	273.0
