avgpool_N,avgpool_H,avgpool_W,avgpool_C,avgpool_ksizeH,avgpool_ksizeW,avgpool_zPadHLeft,avgpool_zPadHRight,avgpool_zPadWLeft,avgpool_zPadWRight,avgpool_strideH,avgpool_strideW,avgpool_N1,avgpool_imgH,avgpool_imgW,avgpool_C1,count
1.0,50.0,50.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,52.0,16.0,15
1.0,51.0,51.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,53.0,3.0,15
1.0,51.0,51.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,51.0,3.0,15
1.0,53.0,53.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,54.0,3.0,15
1.0,53.0,53.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,55.0,3.0,30
1.0,53.0,53.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,106.0,106.0,16.0,15
1.0,53.0,53.0,64.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,54.0,64.0,15
1.0,54.0,54.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,55.0,3.0,30
1.0,54.0,54.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,110.0,110.0,3.0,15
1.0,54.0,54.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,54.0,3.0,15
1.0,54.0,54.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,109.0,109.0,16.0,15
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,56.0,3.0,15
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,111.0,111.0,3.0,45
1.0,55.0,55.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,55.0,55.0,3.0,15
1.0,55.0,55.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,111.0,111.0,3.0,15
1.0,55.0,55.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,3.0,45
1.0,55.0,55.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,3.0,15
1.0,55.0,55.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,111.0,111.0,16.0,15
1.0,56.0,56.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,56.0,56.0,3.0,15
1.0,56.0,56.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,112.0,112.0,3.0,15
1.0,56.0,56.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,111.0,111.0,3.0,15
1.0,56.0,56.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,16.0,15
1.0,56.0,56.0,16.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,112.0,112.0,16.0,15
1.0,56.0,56.0,16.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,56.0,16.0,15
