	BN2_coeff	time_cost
883	188160.0	446.0
884	194432.0	373.0
885	200704.0	375.0
886	25088.0	54.0
887	26656.0	65.0
888	28224.0	51.0
889	29792.0	71.0
890	31360.0	59.0
891	32928.0	89.0
892	34496.0	65.0
893	36064.0	69.0
894	37632.0	73.0
895	39200.0	88.0
896	40768.0	75.0
897	42336.0	89.0
898	43904.0	96.0
899	45472.0	84.0
900	47040.0	101.0
901	48608.0	108.0
902	50176.0	99.0
903	200704.0	413.0
904	301056.0	561.0
905	401408.0	902.0
906	501760.0	951.0
907	602112.0	1088.0
908	702464.0	1255.0
909	802816.0	1497.0
910	100352.0	176.0
911	125440.0	208.0
912	150528.0	307.0
913	175616.0	395.0
914	100352.0	169.0
915	200704.0	386.0
916	225792.0	435.0
917	250880.0	522.0
918	275968.0	505.0
919	301056.0	518.0
920	326144.0	555.0
921	351232.0	778.0
922	376320.0	638.0
923	401408.0	794.0
924	50176.0	87.0
925	56448.0	106.0
926	62720.0	107.0
927	68992.0	104.0
928	75264.0	137.0
929	81536.0	148.0
930	87808.0	176.0
931	94080.0	194.0
932	100352.0	189.0
933	106624.0	181.0
934	112896.0	181.0
935	119168.0	188.0
936	125440.0	196.0
937	131712.0	264.0
938	137984.0	249.0
939	144256.0	299.0
940	150528.0	274.0
941	156800.0	286.0
942	163072.0	275.0
943	169344.0	277.0
944	175616.0	303.0
945	181888.0	357.0
946	188160.0	358.0
947	194432.0	320.0
948	200704.0	454.0
949	25088.0	46.0
950	26656.0	59.0
951	28224.0	63.0
952	29792.0	64.0
953	31360.0	70.0
954	32928.0	86.0
955	34496.0	66.0
956	36064.0	96.0
957	37632.0	80.0
958	39200.0	77.0
959	40768.0	96.0
960	42336.0	90.0
961	43904.0	91.0
962	45472.0	95.0
963	47040.0	93.0
964	48608.0	100.0
965	50176.0	95.0
966	200704.0	390.0
967	301056.0	671.0
968	401408.0	811.0
969	501760.0	976.0
970	602112.0	1138.0
971	702464.0	1377.0
972	802816.0	1383.0
973	100352.0	177.0
974	125440.0	222.0
975	150528.0	294.0
976	175616.0	331.0
977	100352.0	169.0
978	200704.0	365.0
979	225792.0	433.0
980	250880.0	551.0
981	275968.0	462.0
982	301056.0	536.0
983	326144.0	645.0
984	351232.0	688.0
985	376320.0	676.0
986	401408.0	822.0
987	50176.0	101.0
988	56448.0	110.0
989	62720.0	164.0
990	68992.0	125.0
991	75264.0	139.0
992	81536.0	147.0
993	87808.0	162.0
994	94080.0	163.0
995	100352.0	175.0
996	106624.0	179.0
997	112896.0	212.0
998	119168.0	199.0
999	125440.0	232.0
1000	131712.0	257.0
1001	137984.0	219.0
1002	144256.0	272.0
1003	150528.0	299.0
1004	156800.0	256.0
