	FC_N	FC_CI	FC_CO	time_cost
504	1.0	1024.0	10.0	7.0
505	1.0	108.0	1024.0	20.0
506	1.0	1024.0	10.0	7.0
507	1.0	108.0	1024.0	20.0
508	1.0	1024.0	10.0	8.0
509	1.0	108.0	1024.0	19.0
510	1.0	1024.0	10.0	6.0
511	1.0	108.0	1024.0	23.0
512	1.0	1024.0	10.0	7.0
513	1.0	108.0	1024.0	22.0
514	1.0	1024.0	10.0	9.0
515	1.0	108.0	1024.0	20.0
516	1.0	1024.0	10.0	7.0
517	1.0	108.0	1024.0	20.0
518	1.0	1024.0	10.0	6.0
519	1.0	108.0	1024.0	20.0
520	1.0	1024.0	10.0	8.0
521	1.0	108.0	1024.0	20.0
522	1.0	1024.0	10.0	7.0
523	1.0	108.0	1024.0	25.0
524	1.0	1024.0	10.0	9.0
525	1.0	507.0	1024.0	58.0
526	1.0	1024.0	10.0	8.0
527	1.0	507.0	1024.0	85.0
528	1.0	1024.0	10.0	13.0
529	1.0	507.0	1024.0	56.0
530	1.0	1024.0	10.0	8.0
531	1.0	507.0	1024.0	69.0
532	1.0	1024.0	10.0	10.0
533	1.0	507.0	1024.0	56.0
534	1.0	1024.0	10.0	8.0
535	1.0	507.0	1024.0	53.0
536	1.0	1024.0	10.0	9.0
537	1.0	507.0	1024.0	52.0
538	1.0	1024.0	10.0	9.0
539	1.0	507.0	1024.0	52.0
540	1.0	1024.0	10.0	7.0
541	1.0	507.0	1024.0	55.0
542	1.0	1024.0	10.0	9.0
543	1.0	507.0	1024.0	55.0
544	1.0	1024.0	10.0	9.0
545	1.0	507.0	1024.0	53.0
546	1.0	1024.0	10.0	8.0
547	1.0	507.0	1024.0	53.0
548	1.0	1024.0	10.0	7.0
549	1.0	507.0	1024.0	58.0
550	1.0	1024.0	10.0	8.0
551	1.0	507.0	1024.0	57.0
552	1.0	1024.0	10.0	14.0
553	1.0	507.0	1024.0	48.0
554	1.0	1024.0	10.0	8.0
555	1.0	147.0	1024.0	25.0
556	1.0	1024.0	10.0	7.0
557	1.0	147.0	1024.0	26.0
558	1.0	1024.0	10.0	7.0
559	1.0	147.0	1024.0	29.0
560	1.0	1024.0	10.0	7.0
561	1.0	147.0	1024.0	24.0
562	1.0	1024.0	10.0	9.0
563	1.0	147.0	1024.0	35.0
564	1.0	1024.0	10.0	9.0
565	1.0	147.0	1024.0	28.0
566	1.0	1024.0	10.0	7.0
567	1.0	147.0	1024.0	32.0
568	1.0	1024.0	10.0	10.0
