# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.710      415.500       22.027       74.391
       0.713        0.000       22.027       74.391
       0.715        0.000       22.027       74.391
       0.718        0.000       22.828       74.391
       0.720        0.000       22.828       74.391
       0.723        0.000       22.828       74.391
       0.725        0.000       22.828       74.391
       0.728        0.000       22.828       74.391
       0.730      410.400       23.648       74.391
       0.733        0.000       23.648       74.391
       0.735        0.000       23.648       74.391
       0.738        0.000       23.648       74.391
       0.740        0.000       23.648       74.391
       0.743        0.000       23.648       74.391
       0.745        0.000       24.754       74.590
       0.747      413.000       24.754       74.590
       0.750        0.000       24.754       74.590
       0.752        0.000       24.754       74.590
       0.755        0.000       25.355       74.590
       0.757        0.000       25.355       74.719
       0.760        0.000       26.004       74.719
       0.762        0.000       26.258       74.719
       0.765        0.000       26.258       75.719
       0.767        0.000       26.258       75.719
       0.770        0.000       26.629       75.719
       0.772      398.800       26.629       75.719
       0.775        0.000       26.629       75.719
       0.777        0.000       26.629       75.867
       0.780        0.000       26.629       75.867
       0.782        0.000       26.887       75.867
       0.784      394.900       26.887       75.996
       0.787        0.000       27.145       76.160
       0.789        0.000       27.145       76.160
       0.792        0.000       27.301       76.180
       0.794        0.000       27.301       76.180
       0.797        0.000       27.301       76.180
       0.799      397.400       27.301       76.180
       0.802        0.000       27.605       76.352
       0.804        0.000       27.605       76.352
       0.806      409.100       27.605       76.352
       0.809        0.000       27.605       76.352
       0.811        0.000       27.863       76.352
       0.814        0.000       27.863       76.352
       0.816        0.000       27.863       76.352
       0.819        0.000       27.863       76.688
       0.821        0.000       28.379       76.688
       0.824        0.000       28.457       76.840
       0.826      419.000       28.457       76.840
       0.829        0.000       28.457       76.840
       0.831        0.000       28.457       76.840
       0.834        0.000       28.457       76.840
       0.836        0.000       28.457       76.840
       0.838        0.000       28.457       76.840
       0.841        0.000       28.457       76.840
       0.843        0.000       28.457       76.840
       0.846        0.000       28.457       76.840
       0.848        0.000       28.457       76.840
       0.851        0.000       28.457       76.840
       0.853        0.000       28.457       76.840
       0.856        0.000       28.457       76.840
       0.858        0.000       28.457       76.840
       0.861        0.000       28.723       77.969
       0.863        0.000       28.723       77.969
       0.865        0.000       28.723       77.969
       0.868        0.000       28.754       78.035
       0.870        0.000       28.754       78.035
       0.873        0.000       28.754       78.035
       0.875        0.000       28.754       78.035
       0.878        0.000       28.754       78.035
       0.880      407.200       28.754       78.035
       0.883        0.000       28.754       78.035
       0.885        0.000       28.754       78.035
       0.888        0.000       28.754       78.035
       0.890        0.000       28.754       78.035
       0.893        0.000       29.309       78.172
       0.895        0.000       29.309       78.172
       0.898        0.000       29.309       78.172
       0.900      398.700       29.309       78.172
       0.902        0.000       29.309       78.301
       0.905      414.100       29.566       78.301
       0.907        0.000       29.566       78.301
       0.910        0.000       29.699       78.492
       0.912        0.000       29.703       78.492
       0.915        0.000       29.703       78.492
       0.917        0.000       29.703       78.492
       0.919        0.000       29.703       78.492
       0.922        0.000       29.703       78.492
       0.924        0.000       29.703       78.492
       0.927        0.000       29.703       78.492
       0.929        0.000       29.703       78.492
       0.932      798.300       29.703       78.492
       0.934        0.000       30.070       78.492
       0.937        0.000       30.070       78.492
       0.939        0.000       30.070       78.492
       0.941        0.000       30.070       78.492
       0.944        0.000       30.070       78.699
       0.946        0.000       30.703       78.828
       0.949      397.500       30.582       78.754
       0.951        0.000       30.582       78.898
       0.954        0.000       30.836       78.898
       0.956        0.000       30.836       78.898
       0.959        0.000       30.836       78.898
       0.961        0.000       31.094       80.211
       0.963      399.600       31.094       80.211
       0.966        0.000       31.094       80.211
       0.968        0.000       31.352       80.211
       0.971        0.000       31.352       80.211
       0.973        0.000       31.352       80.211
       0.976        0.000       31.352       80.211
       0.978        0.000       31.352       80.211
       0.980        0.000       31.352       80.211
       0.983      415.900       31.352       80.211
       0.985      415.200       31.656       80.305
       0.988        0.000       31.656       80.305
       0.990        0.000       31.656       80.305
       0.993        0.000       31.656       80.461
       0.995        0.000       31.656       80.461
       0.998        0.000       31.957       80.461
       1.000        0.000       31.957       80.594
       1.002      412.400       32.234       80.750
       1.005        0.000       32.234       80.750
       1.007        0.000       32.234       80.750
       1.010        0.000       32.492       80.750
       1.012        0.000       32.492       80.750
       1.015        0.000       32.527       81.449
       1.017        0.000       32.531       81.449
       1.020        0.000       32.531       81.578
       1.025        0.000       33.086       81.785
       1.027        0.000       33.277       82.023
       1.030        0.000       33.281       82.023
       1.033        0.000       33.281       82.023
       1.037        0.000       34.289       87.316
       1.041      547.000       35.316       87.445
       1.044        0.000       37.477       87.832
       1.048        0.000       37.480       87.832
       1.051        0.000       37.609       87.938
       1.054        0.000       37.609       87.938
       1.056        0.000       37.836       88.031
       1.059        0.000       37.938       88.141
       1.061        0.000       37.938       88.141
       1.064      410.100       38.051       88.207
       1.066        0.000       38.125       89.086
       1.069        0.000       38.125       89.086
       1.071        0.000       38.125       89.215
       1.074        0.000       38.691       89.215
       1.076      396.000       38.691       89.215
       1.079        0.000       38.691       89.672
       1.081        0.000       39.035       89.672
       1.083        0.000       39.551       90.809
       1.086        0.000       39.395       90.633
       1.088        0.000       39.750       90.633
       1.091      417.700       39.750       90.828
       1.093        0.000       39.750       90.828
       1.096        0.000       40.227       90.828
       1.098        0.000       40.227       90.828
       1.101        0.000       40.227       90.828
       1.103        0.000       40.227       90.828
       1.106        0.000       40.227       90.828
       1.108        0.000       40.227       90.828
       1.110        0.000       40.227       90.828
       1.113        0.000       40.227       90.828
       1.115        0.000       40.227       90.828
       1.118        0.000       40.227       90.828
       1.120        0.000       40.227       90.828
       1.123        0.000       40.227       90.828
       1.125        0.000       40.227       90.828
       1.127        0.000       40.227       90.828
       1.130        0.000       40.227       90.828
       1.132        0.000       40.227       90.828
       1.135        0.000       40.227       90.828
       1.137        0.000       40.227       90.828
       1.140        0.000       40.918       90.957
       1.142        0.000       40.918       90.957
       1.145        0.000       40.918       90.957
       1.147        0.000       40.918       90.957
       1.149        0.000       40.918       90.957
       1.152        0.000       40.918       90.957
       1.154        0.000       40.918       90.957
       1.157        0.000       40.918       90.957
       1.159        0.000       40.918       90.957
       1.162        0.000       40.918       90.957
       1.164        0.000       40.918       90.957
       1.166        0.000       40.918       90.957
       1.169        0.000       40.918       90.957
       1.171        0.000       41.176       90.957
       1.174        0.000       41.211       91.004
       1.176      815.800       41.457       91.160
       1.179        0.000       41.477       91.348
       1.181        0.000       41.477       91.348
       1.183        0.000       41.477       91.348
       1.186        0.000       41.688       91.375
       1.188        0.000       41.688       91.375
       1.191        0.000       41.688       91.375
       1.193        0.000       41.688       91.375
       1.196        0.000       41.688       91.375
       1.198        0.000       41.688       91.375
       1.201        0.000       41.703      278.102
       1.203        0.000       41.703      278.102
       1.206        0.000       41.703      278.102
       1.208        0.000       41.703      278.102
       1.210        0.000       41.703      278.102
       1.213        0.000       41.707      278.102
       1.215        0.000       41.707      278.102
       1.218        0.000       41.707      278.102
       1.220        0.000       41.707      278.102
       1.223        0.000       41.707      278.102
       1.225        0.000       41.707      278.102
       1.227        0.000       41.707      378.523
       1.230        0.000       41.781      378.523
       1.232        0.000       41.781      378.523
       1.235        0.000       41.781      378.523
       1.237      409.500       41.781      483.051
       1.240        0.000       41.855      483.051
       1.242        0.000       41.855      483.051
       1.245        0.000       41.855      483.051
       1.247        0.000       41.855     1026.840
       1.250        0.000       41.855     1026.840
       1.252        0.000       41.855     1026.840
       1.255        0.000       41.969     1026.840
       1.257        0.000       41.969     1026.840
       1.260        0.000       41.969     1026.840
       1.262        0.000       41.969     1026.840
       1.264        0.000       41.969     1026.840
       1.267        0.000       41.969     1026.840
       1.269        0.000       41.969     1026.840
       1.272        0.000       41.969     1026.840
       1.274        0.000       41.969     1029.492
       1.277        0.000       42.090     1029.492
       1.279        0.000       42.090     1029.492
       1.282        0.000       42.090     1029.492
       1.284        0.000       42.090     1029.492
       1.286        0.000       42.090     1029.492
       1.289        0.000       42.090     1029.492
       1.291        0.000       42.090     1029.492
       1.294        0.000       42.090     1029.492
       1.296        0.000       42.090     1029.492
       1.299        0.000       42.090     1031.531
       1.301        0.000       42.090     1033.695
       1.304        0.000       42.277     1035.625
       1.306        0.000       42.281     1035.625
       1.308        0.000       42.281     1035.625
       1.311        0.000       42.281     1035.625
       1.313        0.000       42.281     1035.625
       1.316      409.800       42.281     1035.625
       1.318        0.000       42.281     1035.625
       1.321        0.000       43.145     1035.625
       1.323      412.400       43.145     1035.625
       1.326        0.000       43.145     1035.625
       1.328        0.000       43.145     1035.625
       1.331        0.000       43.781     1035.625
       1.333        0.000       43.781     1035.625
       1.335        0.000       43.781     1035.625
       1.338        0.000       44.547     1035.625
       1.340        0.000       44.547     1035.625
       1.343        0.000       45.305     1035.625
       1.345        0.000       46.066     1035.625
       1.348      406.400       46.066     1035.625
       1.350        0.000       46.066     1035.625
       1.353        0.000       46.066     1035.625
       1.355        0.000       46.066     1035.625
       1.358        0.000       47.137     1035.625
       1.360        0.000       47.441     1035.625
       1.363        0.000       47.441     1035.625
       1.365        0.000       47.441     1035.625
